# format : <name> <packetKeyHex> <randKeyHex> <payloadHex> <frameHex>
# frame  : [code][len][randKey][checkSum][encoded payload]
empty_rk5A             77 5A - 7700005A23
rand_279               77 93 C62255D639CD83FAFD309171F571993C2F3243B0BB163B1BBE81E3AAC2A0458A50AA4B4EC165329151EB3CDC75AEA5CA6FBAD9691F3AE4E41C3E2A5F03BB58230FD39AFBEA570FDDC38B7ACDA1293AFFF7A87C3C78BDAF862C2338FFC49867072B28AAA55DAD01287C97B20E21E93E24F084 77720093BBAA325597F23DD7AA4CFB3B2B70E5432416F3C782CE21A397C745F0F66A3369DCB783DC4CC5E0734AACA0D2FB9B120A0F55F6A8EC07E76F3E1D31035FAE5358151BADBD2F292F4257E9EFEB5B546574FF978CFF67D9CD6656467424547095CD37BC1CDC3E39A6288968DDE4E2CD56EB2DE5B2
rand_280               77 0F 6FA8834B18B87552AC3D5B7FCB2EE413C26FF2B8A4974E659CF69B8181D7884BAB024A7905854A1F64B41AD3176FAE0FC0A3C9D76213B59BBA59375ED327C218D5D3EB591D131D3093058E4B3872715FFF536ECBDE944F782419FC030DFFA91E94244E3388E9574BE2369D2F56BF96CC2886C8DC41A184C3823ED0B758E4A52491FC5B4F6E8F6139F95131C698DF831EE345C154B3C3BC467BD19DC4DC601EF47363FAF4F68EA1C27F5D31592759A21DD79740795B815FC7B8D84A70C0FA7C54E361136C486D81AD1D6385302BB55A91AD842E956263D5 77D7000FC59F02D0C6C467AF1C7D38022CBD4709653955ABE0352AE794B50B729F73AB1B7152640EF607EA45FEAF8F3139E095C05BB00FEBD5672D164F68F1A54A4C246C3B512F769BBB538E8AC56AEBC6751520EB2F575D019D46CEA5F63BAC8D15F1E84E4CDF98D13CFBD579FDC8A42C6606B289CE0018AFED8D2537017EB94E6B336E969FC768157A09615972E7F5840BEEE853FB097AC0959EF543C03D571CC9195B9C6666E21D54D837ED02BF85D3E89934F5A325BB319ECB6B05E96AEB2D5D6421878CB9B588C3B0E66A93A42EE77539BB8914729C78D2BE5D
rand_281               77 8B 5EBF042D3B270D89FF8EFD8DB468C47A6A1593CB7C12410C1471EEEFF186E69D68E4C74AA988E70C4453F0EDECBECD3F7AC9CA2F3534F69D50F2CC2BB4DB139400A10340CE05A915394A8D8F9CEA91139B891C80682778083F99793E333A606F2DDEFE3632071D4BE45C1B9C4C56D89FD63DD3E69D538FF4E94F3C4FF60C93D6F88302555BF709574F6FE43B84696A8A32CD35885D20030957FA5C8686BA7570677855C4D33B36E0826C2E95CD 77AD008B3F320BB4DFE70F7EF329D6B038ACF1E2262C824DF2CF1D0ED49EE0EAD0C38F4157A3D820F5C1D2D6218A81B0F52C1C87103F64895C1611AEF18620C08434E659151FE7ACF612A685E4EAC34D3D9BF85AF08DCCF17B87C3938EB2CEE9B34CB6920E9BC1C1E69D2C5C3C0CB5D168D77F0315D3AB501CB54E4245A341D367039C7051F4A1C0859345AAFF2573F961577FD1200D9838778D90B29A8139C1E621893CEC87692654E5FE1BE18F1E89385E
rand_282               77 F1 7DB8218B8F2FF69BF09083220C6AAACEE685A53FAC223D6C8F833C42D2AE248E206F211C229C3D20519CD3D6092A4666DF57F20A35CE63720C5CC56819B09CB01A5FB6326A2B5D5BD384D1C0A44FF50404E748FC86611712FE15 775A00F125B3B480D2E5EE1D6CF1FB78DA76BFA80E309489B645FF8668FF0031371FF8F58F1D9136FEFA7DDF826AF55D34847D1AC49B083373C6B4E95FEDEAFA533D26478389F5ED0877F4146E092D023670B249678DB11FBE915C70F7345B
rand_283               77 28 92595C3D1490C6138F64BE111F4F642706601E72FD3C8D5FC863C0120DB4A7096634CAFCB50B3A08B8CFC80DDD05765557E52B76715EAB79225AC53BE243CF14BDC64FB7A6D7FB590DF5E416B4AFEE90BE6783D909568893BDD0905525C95051BE9954348EFCF04EB75D78F34C54B321636D8E626C2B0EF4C14C88 777B0028EE358B0A82D99222D570CF9D34EDB7A6D857F028563EEC965793F86ACA28B4BE611DB1D469D458B7CE3CB72F14790DA87034B3BC2118AD3C543D2E01CB8612909EAACAD0F9F3D2B9B945405CE22B5DEE65DDAE7F110FDBA4681A9A0761530C1E21250CCC2495AC148ACCC92FF810C6D68BD8E89B00A4512DE7853B56
rand_284               77 4B 4F140892343F3C1683002FDE8FEE6D4EFCAF506F7FB4DB42E523E65557157B93DC0281601F7997E6731543A914AC4C62AFC9640A255D0A358DB1AFA1789F180F78020351E36B0DA5D416D341731C582F76E9A75BE8F1B9EB299F98CE378EC5982BFCD78D077C66FBAEEA27CE34A4585E58F75F8B4FD8AE0CC4D5E9041C4B 777E004BFFE3A05FDD393D5DFE84575DE0B0F70F1481DE0D32CC3BD5A4F68282BC1510FAC87A9F41561082295388CD6D2D73AE2B4B4E09A0D24512AF9888CCAD9AB3709B1461231AD3E5CF7C1F8C5A6578A4459E67D8CD31EFE7B99E3FCFBBD764763BF5C60C5B8D8FFCE45484AEFBDBCCA9F9890A9394884887D90970EB58EE8BAE17
rand_285               77 39 FED8463B131369920A7B8777E0AE16965EDCD5C1E37AB241633BEA6AB03C7273F87E96848F9AE00FEFB03B64FEA158808F7E51262A408C3210B9E3297ACA011422D70F8F0478911D66718ABE16E5E7C4F3C61AE2AE900686D2371B68025DC26382C9FB85FA15446276A6BEADB0E28B09929C7A1CF7D3E6E5B29DDB50D15E7B08233DA08DF7D9C38627371D5855000BF775E9B7FD8B72F5F9B6D36B096E33F5AB0A1C48D0852CD532810DF0E88CA73137A3931AACF4D3FB67E8C113BA6146F8F3414C 77C2003990D48FB2E37FB1D4E09C245FAA5FF333BE4955E6E7732C775838D4FE17C0AE66F01821DA36C38B81234EAEA977438FA1C8120DF738C5A39F4263A88A509A8D130EA55698DC9AA38F3D6D496D68DB3AC2032B40531BD5FE2509879F32B8DA02506818CE8B22E114FB13E9AC3DD4954D60BF98C23A7F93FD278F795B70C03F298EE6E7280568BAFE3939DE7FFB98E6AFB19F2C8FABB598FED1B65BCEF2E622BA7FB4399F5B18FE9B078ABA246A75F4EBF9C382653C5E5A9A31EC753AECED8766B13CE4DF
rand_286               77 2A 2B76410E8D0E7E84DE3FC3712484EB51BA60C0DA50501B8C33FE4C88CFB7BBA5721FD0C152231155D2308A4C01A2721663800BF8F566CAA66BC2B813BC431888E08F4AF4D835EF83F0E24E7141D7F721799AA569DFEC693091FC053C10DA9645FF2E774E28 7765002A5CAEF63CCA6888D9CC5AAF580CBDA2D91BA81B01B1129D48F3D835210D6DAC01B14CAA0FF36A60545F2D7DA2D394DDB7C7E7E5493537B51CB1E8B741747CCFF9D3A248CB44EAC1B45079043C03F2DC8AD7D8CDD0320E4258D4B4EC4A5EEB7A824142D79C8BC3
rand_287               77 F0 35C0BDD788EC0AC19A841857D616CB40542E13FBAAD4637F0557651E7849ECAF93CB2AEC380B2319AA0A61E7E7A3E99738C96F620610C619EF6E9A0919436121C6988F5729A409477995DD1D438D30B604EA7802F7CAEBAD2CCE36FEDA1F73FFF6AF55DE04C2A6932EACF4C393DC87E4E11996A3260CBA82E3FFA2C663E409904A99E54A716AE144F1D80E9F7E98D56BF7DF310C3ADD1BE23D8745295B9A0A1DEBDDA56217A6A2A4EC9F937BADCA04916DC3B106DC46F61362 77B900F050E68296A50775168C83089A474D459107E4378CB0391823412BEEBB16B42D5FF40BF7DEF70F1441F3121F642C747D4AEA91D7FD6FF6A5BB6ADF10F4C5F85C505D57FD1760DDC80539B568ADAF2BE2CA80199AA064889C928D4BB34AF921D6AF2B0C12F0603B86342DB321E0465830FE48C0E7F5CE08E00B54BF2BBA79484FAE6F196E7DBAFF288BEAC1BE36D1C1C98B24E3634DFD1A62B8788EB52C189070EBE3658E8972F5A42E6CDD8B2D0A7B98626572C05AD629C0263701
rand_288               77 99 EE6A4A60EE0103FFF09F7DD1F9448CEB1DC77AFB9F6B4E7E59B44D335E79C2CFDF39FBF24BB3945ABAB0F8578C24247E4D75AEA2DC1B0600CD69FDBA0BAA8387C270B5A87C29171E8AF31D1AA5B2F1B5D55F70E192A3759F29A45B73621FBD1560B7806AC88C14B22610F6038C167AF67C2CC7A0072B23C4370C7146ABFDF7E381B465207904138056AE8BFA887947AA0985BCC785DC97D5BD4A461C2D6FBA58EC126BB2D5B89DEFE475E2E8E203E13A4511553E52DD593C8405E2DB319B8DDC6B779B0825D13967960F05B3E3DBCF0CF8799CEDB657F15F54E64E6DFFA9F8D7C48CFB0BB07670503621FC45D02A 77EE009972A09772703ECE5D9011A8B6A8ED5FBFAFB6BD98A185231DB2C8D1690D5B39931980CD077CCC4C985770EEA8E46A9F3ADACD18513FA149297A90A411636EC0499EEF4D7CC2DA34694BC3C5B0707BC510EB7FA1C9E747556099DFBCD6963A46EF3E837AF105ED48B7B79D66A168358D916011B30CF8EDE8B01DE92C62833F97C23F199A569309BA741BD89C7F7F2F9F322E01EC5F7A4279457F70DC3A590DD779181945B870BB17A4FFBA77881C54240D9F784F15C26F90B88D82215C15A7038070E1C8A8E567D1FC154CFF915FB65D618AA5742B980D54D29E94EF720DDFA9EDF5A11CE8528A3BBEE8069A768EF8E7
rand_289               77 B3 E96499BDFB72E8A8F59591B8DFC283B1C0F896A1C0D0C9138A56CD84F417C81BE27B53946755C47E2EB9 772A00B3275D006C9AC7BD67585000837FE202276CBDB117F1A5465CAAA20555F09BD61FEA53302CE3E3E90FB28722
rand_290               77 1F 190EB7D3276371B39B07CC165B53825A96CBE326A966D25C44291048C8FABD1EF4B41BA3C177962A8A4201C270C323AEFD6D721508CC1EFBD81551708C02B607B9DC388A56D90CECD5A9F17F934CB6677226FD4FC455405B6C42115D3F76A64BB1B094F1AD34DBE3C46523B68A96456F3D1E0D3CA8AA3F6247D8D777AC0195D12155B93E8F2E0CF59F9E 778A001F82F9592E67313778BDCB5557767AFC2A3198BD794602F1CA84467CC017E4069B6B6918F6B8FB1AE50BF17628736403D11C8EC8427EC6FB52A9861BE16EF79D6DBB3298BCA136E3D0A62DF2CC0A5B6F3D191DB04CFC5464CEB04A1B7D0328E68C9EBD6BAD177A782BEC790026ED2C0803F878578716517D8A66A5C38E21FA7BCD4B4AA1AD4220F56AD919E8
rand_291               77 69 1E4AD7ADA67C29447B7323FAB3FE2C269A498C8154F62FDBC46FA50CAD7B6E2E17107509F569DACF0457F40AF6DC97D2D0F6924391B97C2E14A0B10F3725973F3D8F266B710CA7450CFFBB79599BA0E317B1B0FF1FC62AA147 77590069C6086B67A1097CBECD5337CE42F32B559A7B98B5D42199B081924FB79CC25808FF6566520621C4B5F2ADCA83A99DF45CB7FE64F47ACF4C557B19B2CA24EF5E263C452C41C2E0DDCFCF6F7DFAB7E5610BED58396CE129762D764E
rand_292               77 8D E685C4226A5870F2BB638E180E5B1380312463CFC13722ED9D4746C19A24713B79DF7F98162F5AE1E11316B592B93A49199F5BADD4F8F051055161C7837461CAB08D7E80AA8BF6FCC6C9CD073AEE1C201912ACC18522C3E420853EC6C3FFE0EB73D6EA629034EC4A50CDDA956CC1620C19C47D933A7C45AFD42A0645C2 777D008D68989EC07544D09887854195EAEF324EC3C9521C041FA8BF8CEAA4F03408D7E98FEC2DEBCA71EA497EB026F2D61224A838DFE8EA002067880D4769241DC1DC8A6F648F567CD2A49C75F0E555C91F6651636C04705CEF35AA0AACA48A7F9B35DDE18A9260A17E9C2207444F8A4960CD5EA271651229F67CB3D26FFF53A9A5
rand_293               77 4C A5AA04EBC62FF2E3D3686666E791FCB41601FEF7AC5CCF1CB90A8AE0CDE8E62E003D5DA835EF8D84A0F7DE99861265B944B908429354E3F00AABEBF5E59DD1 773F004C65103DBB88D2557F1C77D0B41EC419F37F7CD493C5C2FF52BF2A5733653B157A7FC32A7F98F54F33054A78C9BFAE031C4EBB1738DDA2AF3EFB3D5CDF3F271E4B
rand_294               77 3A 142A4A3738CC76B8E37B9AF955C51AA02A2A85D089806AAB9D966D15491899BA17B2F85272786124168692C8C4E37F32 7730003AF5B31DBC6C45E2741452A301121DB546ABAFFB13AB351DF680D6E2F87D12E982FDC25F63558A894A0BFF9F744D8B30C326
rand_295               77 BC E9EC626E31A3CAD36FE55481BF292F3FDB100559EFEA7646A87CC6898E01D2D5956E4974EEFA18EA23DE26D5635942171BF85A37C614ED05059CC27DF215DBEEB1DEA55C49B97122B28727DB30533983DF92D7DA8EA96209D0B0228851763B3F67C5DDECE9E7BCC44468C05DCB1EFDCB4F67E50AF0B2BC9C32414D72542DDC10DDAA5BED778CE118000A5721DFC2753794FEED8E9336E50453D6AB03A240A4A93B1586269AB1C7660FF456F11248880FD6DF552F213DC4895AF7A403E4BA7D51AA8EC661FB5C58F699AE23930CB7209A3C9386B53FD04175702CA039C1A04E52529E836442987B0FC5C128CF76172421EFA1E9E897F5440E 77F800BC61E44F79EF81EC76C7D0E8BD5FB3324133AFCB91DC15069A88C980663DFD981A753EB95C6593BF3471BA0DAF8E97EB12C01A5ED9730E89FC10761A25459E1E4874EEB4D67490534275F9EAD3CBC6BE82DDDCBD7497030254B7F1E3AC3B94836458D46F76E3FA6223400CD211653BA3D98A452DCFB96215C1D766FC7ECA19C36E6782F76262569476443D8A27F93D8FFB8ED882D0FCE8F4B0CCECA0AEB7A13F161A9AA93F21788E167032AAFD49AEB7997A5C371688A87B4FACCE7DE1DCB674C24D19C32852CC9089F46FFEB517282699FAD697238893E8EB3F7A6151E21776344891BA67B44ACE5CA57C3E01E30E924FF541C4D90AE1F35621
rand_296               77 0A 076EE2FCFFF25ACC25F8166A18FBBBB4CB6FF8717BEC1791E58FD1B6B59E67F4416AEED5777AEAA114E51FDC1800A40F763939CC0F43DAECE174951B7C6B9897B6F58E34A0322CA4B9F306F56167A85B90F7E230C76E6339475D892B82BE786DCFD76A206161465D7AEA73BDDC78EE1F816F9AA58BB4D8007E1358EEADDE2F00F2D729A1A2506054C0910D3D717A9FE3B06A0A34435F62CAEE5EA86CE615E4D888BF73BF4B48A312F4B17D7C09B7E23087AFDAE4D7B5281DFF0522AE16A9BF7BFA55F283458F361E7C126A828A75E08C6D08B1BE30FF538419D26DBB23E3E973AE624BF4766D4200C27C7D58DEFDC082CA3B37C83484 77F6000A7DE0172B93AB179CCD8E3D951FA2CC164AE8457DB4E75EB7ABC9CE0BB8B7F007C093B06E8BEE01F5BC142D1E1BC92D0CA87F7B8F1FA7BA82F046A058451790782D392A4CC43DC43E4ABA8901949111D0A06DA17A03B22D90967A93AA6639DAF6116E6EB7DE67699066B7168F231CF75FA45309DCCABE92991262A1B7EF854FD7D396A00C8F3921E8E78BE415AD8F399936BC8C7534578D74C5DD0128B31940AAB25F877DA86F9EDBF05ACDEAA3A458D1A05B65D4E764162B77A7088E10C90343448C2D23C62F1F2C372B57E0F71DECBAEA9A6A68B6D153DFCBCD7BE98863FD932A8048688AAF59BCEB65A52DD5D8189F5E586542F7099D
rand_297               77 C4 A48B319BF70B8A480EAD291BC72CEF412CB75E05EB97AB970711150CCC8E76A708F918577869C980810032FE20136468248AB4919B8AC9558A52F392E163BE74ADE4C8F69044CFA56E210EA76A69CAFD11BF2805D4204143BCC67860594C0C73FC14E98026E6C43E3FD9661E8B7748885B1C6168809F3CE905344D801E91852D5B5024FE2195CFD45BF0E2696D850792696A08C28650E1D0CE661AFA167A5329336121776B9A18EE2A2E2992F6DA2FA2A570C41CCE7B597F7D2286D42B4F9EEFED1087F3EB3DC814145BE4A110C0E74176F83E7D4068CB7E7C31391844578D08EF23FE7A89C507CF813EBA9CA27D57F644C81DED 77F400C44319747111BFCA00DE7DA3236AB73AF5358CA8FB2325548BC9EDF8F9D2EA7E81C7AC0C8D6D5CD2AC061E68A120B221C1FF00BFD35C8F362B45E0D53CD744521BB0AD48FC469BBE41ED3A7EDDAB062CCD3BD1C8D0C535E10F401004A9822FD25E595BB1C94B167B2597879EC0C8B8A1B3633993F74952402FCBABFF1DA17ACE42DBA831D37957AC212229829EA79694C0EAE2EEABDEAE4CF6DC1B1EB8DC95165F89F5D08D1167AB4869CF6BADD772430A45269F499556F0B6BF5A87B7B111728E859A6F6E14F2233585AC4C595BE83534E06D945AC5AFCD1BB106CA16DE2195E78751D0F6AE249D3026626E3198E0EB64D1AD91DF7A
rand_298               77 B4 6056315BDCCE48DB49FBA36230152D7CFCA5D9A0548D945AA84978AA0A7442A7408E066717FC2123FA507097C2CBBFA8D0208449597BCE9F02C27863AD1BA28992AE611F91ACB677C690BD885FA52792AAC8EA01726F37948CEAADBEADE9CC4D7F3FAC49F3E5EF1FD842F4FEADA94D82B32474904770B9816F487F82B3E7A83A2EC84EAEE4B0 778600B4B6CB88B705AE052918BF5F9F7F2A545ED05981FF9796D44B74D08FE747D8CD51441EACADEDE3396DBC28CEE56B169EFC92F732226FCEBA153302A329CE2B61CEC4D79E3FBBD39BEA702F7C0F6ACBD3FB3750851DBE9817ACBFCD19D75987087AA50C5049174B1641EFE4D77F7BF7CECFAA637E46FA52D0BA1984832C2996D0FFA03A2625B28650
rand_299               77 1B 56EE7CC154E11ABF13BC88BD7F863BADD2655776661B1F9AC7D1AF160D14ED8A691DBD99FD557493F1189051C3B9A661DEC79B646F8F17B374E23749151982DD38551F4E500C454475C1F215BA12E0E5BBF8B512754B79CF5B844E0EA6C75BA4EC210AA7F40E731BC93E18CE0D98D28190800B4821552E34A43E5C2E65276126AC06E66E9263E760121768476354647D85E507D01BB71D2A7899C972FC407AADA18E 77A2001B85B2A8FC46C88AFCDA83472B1B02C2075837A0ECF952FDC34A528A17FF14049FFDF823F39B909146CFEF6CDB32820E6248A01281C524F5C90B0F2AA8D845C063B65DD2B6A70204A1E336C1D6355800AE46299F041CA19E701E6743A9440DAA1E49F2A39AB5223CD7FCC407DAC85FA135D57BB6C80591DFD346891159969A1C55894F24F51505D9421C0CAE9E326D23B58BF20DBF4C7AEAF1979BDD1EE68ACBBE63AFD6
rand_300               77 1C D1148A5B7BD54C47654C7F20C4B10F710A792DFBFF 7715001CF93CCF59BADD83B2A0FC36B62221A70DB4780F8AAC2A
rand_301               77 F2 9F131A8F7F 770500F25148A661652D
rand_302               77 6D 11615A27435429FF2B95BB8A09B3726B8DF296A148ED604F618051BE89E5C8A4301DD4A7F992471D6CFA0C16EC7EBA9CE81C6839554AC4BA5BDC5F334E274B43E167E899965EFBB7793E00F60EC9C2CB88B728483B5852E6547AE481C88DA2A48A053E0701006D56B929403459DCB280D58B7ED7E460335AB52389B1DD5FF65095C07DF822C0C781948274D8B3FEB344375F10ED37A98E9EE49FF6CA77E46ECD68604D75E1E52EC1721344E80679ED9D16FC89921C7D8C3B4BB6D2D47D6533A5 77C0006DC3074BA7D77022C9685A626961E8571A8B31EC39B4FD26E7E00E27FBFA066CB6A9045578A9EF22C2E6F067882682B3D83C564F620D492A9F196C8C5B324182505CF744B1F46BF9C60585823B3171BD0141C5B753C43433A6FACC2B64DDCA6974EA3CDC129E3901664C754E83DF0E8E903BD3E18F89474046235D5D22FBF545514254D1213A0FE1C65B5C2420FD65F6D4BF9DADA35FA8D70E6EECFAF6C577D0E324BB2374B90B3D5BA749E1E3EE11501E5CAA67CF164F30A1CEF2A7A4A4035A321E
rand_303               77 21 588526B9CC9DBBA2566E39938716DA2B8FCE7B2255B85030C6D8D72A6C5F0A6F4330D982C99DD7F855713495A934EBB2CAAA3CE1109D5DD479DC6D7B4284A96DB97EE2894D492FDDE7FADFC77D81B159E42D4802E573D96B94EB27A0DD9BB170607829167F2A2919B4102270288495EA826085CDFDC02CBDBE0AEDE0642C8A40E025977187C72E7365BBE5D9D5C5FD2B4F49DC8A800FBD92A043A78500C09BA5E28E12E18EA8A7B4A203104BAACD52E6F0F2358096E5F6B2E19D3DD5D8DE4E670EB983AFBC56FAA412F18B0CCF23FDE1106379F865CC3EE52A 77D90021A1BE75A4E34617D182AB97C4D715F4010EA28BB1C22C9924C224DD0F3473ACAF0658C93DC4CC02C72F16DBFAD9415CE407A48C1CA8F2C297D312EA7B1019779E29B9B2A9C6C4644314B0595B6DAEF98FCF770F511E7426F1D4A11824155B9BE8AC0A8FB3C60CF7593925DCF5714904C2FB82F64BBA7EDDAA27FE78A31147F0033DBFB19603BF1D7B1972DB67D562C56F096C0DF4286A6003A7774176EF2012578AE983C9197B2462DD76CFC6A37AEF642ED2573768E1A6A12D681519B7ED1C3D426FE886E6941B12C49656697FCACD27AB53652402435957BB31
rand_304               77 E8 19150E0A4D0BB0D3243858910B5E8C3E646D4F64E555A38E3A184BFDF223D59D98DED83820827B 772700E8DDC0AEA752DD519AF28DC6AC7B4ACFCDFF48041260F4CFB021EB39CF96228BCC0E4BCC8AE47172E7
rand_305               77 24 2B36D2B12EDD119DACDAF1B967B95E8ED5EB9CA273C3389C5CC53EA81A20AC1DBC79275E28EAEDFEB34B0B27EFB0D03CC43281BDC3F34E6BB65C85AD7CA9063314A8F7D9F7BDB8CEAB2A19F5958DCB8B0FAA150BBA6BC84E152575F74F1DDD0E5A4BA9EB415E5C56BB0085EC005A39C5DBDBC05301358F8DA1A9764D3C851BF7B7EBA75CAFD3BFDE0C53B6D4D91F0130534CEB5F3F598A70816FF179EBE8A736530F58F4E826CBADC6AE1475C7E20B149C85FCF51DDDA03FDE004C41034E6913553F 77C2002455B699170E62294C40D7C6772DDD78EEBE6C7F57D7799CC4E4C76D4AFDED6172D8D5FD6519FCE5A2CF1846AEED6CF37F215221789488E1ED2C645224F7410E9EA513D1FFBEE31F4C3DCA0528488E2FD288D6F4666B51909C62AA41DC0EEC4DEA9FC190510511CF5E15F4478EABFB452D461D156A0618B56484BA6B4FBC2CE7AC440C354C31A2446C6ED3EDAE693A5892280AAA283DB62A19847F571D706DC077DCBFC75C0BFD9D258EF092F1756FBF13E5262AFB55D3F072D785DB0EE296E67AED36B8
rand_306               77 AD 955F660D1096079673AD3FBBE10E5DDE43CBBB41DFE2F16E2DC049D6E50373B85D847A441295F7018487856C487074E2582AC2BFAD9F46C810442FC62DE4AD74E99FEE9BF5324C7CA379C56EF932ABC805039C016FBFB51655E5032C52693A77E0B7AA5AE1F66ED07889E70A1DDC695AF15D334F4EC8A522A3A8 777A00ADDB93251FE75BBC26E3EB8796F735B0A2A73FCD26B35BD490F73B76C419476BF28CAD9BE190FFAEB286082A116FE9263FD537E2ABE0BAECB4B9BE88F5D7C8AA0DEB5071AE85552A8B6F8883416ABC3F1718222CAA28FB64341F87C3368CA2DE3CF4C2341C8717848B451B2116DC9D27A612B1ACFC2ABCAD15886EF7
rand_307               77 C9 7F1B8389EBD596C9FD67C6C5AAC1D388DCF6155EC4406EF172447EB2A397157ADA80EE71B2009A30720FBA22E22971305D09199D28B5352E02BAA78FFCB924F28B22E4F9DC409ED66776B3B1C7C8AA49 775000C9B7D5E5945B29B3414D6CFFA2153A79415A51A36EBA9CD1D207A26E404109CF4A8EAABD506BCCDE42E302D1A4AC6816DDEFA07701112DFDBE543A159195619DE3A8D46D3C23D692D8D5913E30020DF929BB
rand_308               77 C6 DCDFC3C2705027B38A815716C0FFBB89CEE7129D8A0405221A3802A6641D4738 772000C6D7FBDEEF28DA440EA1571E6F4482D750B4B7C51C1283ECA5AA5E8E43346A9510B3
rand_309               77 C3 3D72079D08B68E4F5CB7D2EB923B1204FB204602749D55803ACB88F200643F8B3FCAE35ECE4B1BC3B2A343FC37C21A1840D0BA18DB6FCE511840FF111CA8AF8571D4EADAA0FA99A302E2F97BD3A64CEB88B6CF8E621EEB72440CAFC2C28C7EA27A97055BA74C70B8F37DDEB08D6D12447CD86BAB333416AD6537824D1A9914AA031B1D270AC809CA2E7BD9E28EA1D3EDC34077B87339B6C823CA5FF94D56DA65B3691887F2F7CAA15AE4D15AFDC9F6AC06F6DCFD4DB3328C28CC2D0F834C369B3388E0 77C300C3690940367A6E3996A3FA67D2B51C616CA8FB0581E6C346720148A9E632EEEBEF5D76BC27C543A170CF0E7FDF92024D3670FAADE224A94A2F5C95916E19EE2EC7DC4C0D3036B0D9C347DB9E8ACED165659B271E2083BA92BF0739F87655A856180BBE8F511534AE1A8139EF2F8E300EAC5DC4CE45AE704F646F7D03DFF793D1474682641DB44DC514C2CEF045AD09A386E3EDE0F23715B19BD41ABB678BBCFA408827C42B9C0FFA91E49D5D008E55EAE3C1D3A4C3967C2078975C50F3D80E8DBE9315986D
rand_310               77 E7 5F1C0420C1B061036EE54AED0080C2 770F00E7D087A5AB706825773767DD0D1D235EC9
rand_311               77 C6 F4C11945D6D7E30191132A805B23F08A68BC28195D3DC817078F1F684D4F692B632FA13D419996FF5496415A73EF5600149219F4C036734CC44245362AEBFC39E79D66BD569DC4CEE5EC201D0F6EE0478A4B9C5AC1962D96842D0670FEE0C8DDE8D510CCFD2A93F4AEDD6ED116E9B7E930B2585448A31D7BAF160B20B374F49FCE9D48731E8A2EFB1531D37E72A8026E708EF6E93DA76C85ADC6FC4D30F0A80702BEB6B9A103BB6B84AFF92D0AF3EA5CB1A61D2288E8413CE70580005D9C0E9EEA0001A66EDE63CA622085E6 77CC00C60E4D95150436E7A4B4C49793CBBBA2604221D42EEF10EAE31DE7DCF79897FD4B0E111B8D32898D22C0C768B9A2C7F758BDC7793F09A87B72393545191F2834E7B5BB36DA1D1B8AECD6F8D6C7E72323EAE249A3382F7A7D320975BA9424771E4419372A702098CED8E8E74BF404EF07512668403F30020FDEEA10185CEA926EBD3528F0BF577289E1A225C12F739E37D5F10EDB0DB6F537B810B4F667E7CC87FDD8C6FE2753AD82ADDDFAC65C85D9E47036C84442E49F2E7D0EFB6DE2D31C570BD1FA4D8AEDF389ED53F8E7C09F
rand_312               77 F1 973D5AC3760511AFC527C39A3F4022BF4BEBEF2AD1426E634DA2174C22AF8E4C3098D5ADA89DC1431FCEAA4FE21567A28A767906D09687D9A27A0BFB76924AEBDEF6892C5CEF7EEE78B905EA1187148EF1C8 775200F1FF95D3C503CF0FA4AF73EDA6649B138BBFAC3527741EC958812B5A0E1F5AA1D4DE828D5BD3E3B7D8932D3465966764E6239648A72FAF504EFC22152D09DF9633B03981128660AAFA997CE5B5C86C94A8CB9BFE
rand_313               77 9C A4A9A28A89DBA6F52996E235C8DEDE083A0531F6F8713A34739F11C9A868BDEFF583A8BC2B4C5001E4C33E7317D83C08E9E6C3A4C67DB3F5B164469BD8DE478D6C2D7FB8AF5571E94F2247ECF26C0BF6129A1A400B65D6F572DF9C4EA9B3F6FBB0AE11C63E7E717311BAE3EA8223B3985C2A2012EEB20DFB5F16F929426E31036A0E442D0050B868D294FBB3EE84 778E009C45C18CF272D857D508A362E8EF9159C495A344E75CF0C3199DB7868FA5D2A300803AB5D983B34B64560BADA686AAC437FEA178E3BAA6BD6204E8CA131BBEE3AEFAA587855153044B8F75198D877E35AAC721D1AC19BEA285497AC48B0425BF20B07F0297FE6A82DE094621F6CB29884F82F45AF10AF076D4F9E6ED54AC1DAA453F720BC508EEB28BBC3216A8C5B791
rand_314               77 EE 709DBB6198EBBFD120134773CC97626B425602371C52AE8F3CB678905F182F1AF5FBD5773198533D5CDE6C756EB7F0FCDF8D322ABB0DBBB2F52A40C9FD65D28B944C559AE0413308BB7D52775155437EEABBBC4F04074897A5F83DA6EFF5 775E00EE52A1DD5B40AECF2824010D5F5AA6CDE9A6BA84CFAFD8DD036AC6A8B95093B2CFE8EB05E7AE3BC403E9B4DF4D6EC62943A5FFF6124274EFD65BFC9D4D8065032EAE8B14194624FFDE01AEA82BE3B174393E9231EFA2369DFB8267BC7DCA97CD
